iter	Passed	Remaining
0	63	63018
1	118	59300
2	212	70732
3	277	69091
4	317	63265
5	368	61072
6	418	59301
7	467	57948
8	516	56914
9	564	55851
10	660	59413
11	756	62275
12	832	63177
13	878	61906
14	916	60173
15	947	58288
16	981	56738
17	1008	54999
18	1040	53737
19	1070	52476
20	1108	51668
21	1141	50725
22	1170	49732
23	1200	48817
24	1225	47784
25	1249	46821
26	1276	46009
27	1301	45196
28	1330	44534
29	1369	44296
30	1401	43813
31	1430	43281
32	1453	42588
33	1479	42044
34	1503	41456
35	1525	40851
36	1550	40343
37	1574	39864
38	1612	39725
39	1640	39374
40	1669	39050
41	1700	38782
42	1723	38359
43	1747	37975
44	1772	37614
45	1805	37443
46	1831	37133
47	1856	36826
48	1883	36564
49	1911	36312
50	1932	35956
51	1956	35663
52	1986	35498
53	2019	35372
54	2045	35138
55	2073	34947
56	2099	34729
57	2124	34499
58	2147	34255
59	2175	34082
60	2202	33908
61	2232	33773
62	2257	33580
63	2288	33462
64	2314	33299
65	2339	33104
66	2362	32891
67	2389	32746
68	2420	32663
69	2449	32539
70	2475	32388
71	2503	32262
72	2525	32075
73	2550	31919
74	2573	31739
75	2597	31583
76	2626	31488
77	2653	31366
78	2689	31349
79	2717	31249
80	2744	31134
81	2766	30973
82	2791	30837
83	2816	30709
84	2841	30588
85	2864	30442
86	2894	30378
87	2921	30280
88	2948	30177
89	2974	30079
90	3000	29972
91	3027	29876
92	3049	29741
93	3077	29665
94	3110	29629
95	3138	29552
96	3161	29431
97	3187	29333
98	3210	29215
99	3232	29094
100	3257	28996
101	3294	29005
102	3322	28931
103	3349	28857
104	3374	28760
105	3403	28707
106	3426	28599
107	3452	28511
108	3475	28410
109	3505	28361
110	3537	28334
111	3566	28276
112	3596	28227
113	3622	28151
114	3649	28087
115	3673	27995
116	3702	27942
117	3729	27873
118	3759	27831
119	3784	27750
120	3811	27685
121	3837	27615
122	3862	27542
123	3885	27450
124	3911	27378
125	3934	27293
126	3969	27287
127	4069	27723
128	4107	27735
129	4132	27655
130	4157	27580
131	4183	27512
132	4223	27534
133	4250	27471
134	4276	27403
135	4306	27359
136	4330	27277
137	4354	27202
138	4392	27210
139	4422	27169
140	4455	27143
141	4479	27069
142	4509	27024
143	4538	26978
144	4563	26907
145	4588	26839
146	4623	26828
147	4652	26784
148	4677	26716
149	4705	26667
150	4733	26614
151	4759	26554
152	4786	26498
153	4815	26451
154	4840	26386
155	4873	26366
156	4900	26314
157	4934	26298
158	4964	26258
159	4989	26193
160	5016	26143
161	5039	26068
162	5064	26007
163	5096	25977
164	5120	25914
165	5147	25860
166	5169	25783
167	5204	25776
168	5231	25723
169	5261	25688
170	5303	25710
171	5334	25679
172	5364	25644
173	5395	25612
174	5419	25549
175	5444	25488
176	5467	25423
177	5494	25372
178	5525	25344
179	5559	25328
180	5594	25313
181	5623	25276
182	5650	25227
183	5677	25176
184	5707	25144
185	5741	25127
186	5770	25086
187	5795	25031
188	5819	24971
189	5845	24919
190	5868	24854
191	5890	24790
192	5918	24747
193	5948	24714
194	5980	24690
195	6008	24646
196	6038	24612
197	6067	24574
198	6097	24541
199	6124	24499
200	6166	24512
201	6202	24504
202	6240	24502
203	6272	24476
204	6311	24478
205	6347	24465
206	6373	24417
207	6404	24386
208	6432	24343
209	6460	24302
210	6483	24244
211	6515	24219
212	6542	24172
213	6570	24134
214	6597	24089
215	6629	24063
216	6659	24028
217	6688	23992
218	6712	23939
219	6741	23899
220	6773	23874
221	6810	23869
222	6861	23908
223	6909	23936
224	6942	23912
225	6972	23879
226	7001	23841
227	7029	23800
228	7061	23775
229	7088	23730
230	7115	23687
231	7140	23638
232	7171	23606
233	7196	23557
234	7218	23498
235	7246	23457
236	7277	23429
237	7303	23384
238	7328	23335
239	7351	23279
240	7375	23227
241	7401	23183
242	7423	23127
243	7446	23073
244	7471	23024
245	7507	23012
246	7529	22952
247	7554	22907
248	7580	22862
249	7603	22811
250	7626	22758
251	7655	22724
252	7685	22691
253	7723	22684
254	7754	22655
255	7782	22618
256	7815	22595
257	7843	22556
258	7872	22524
259	7904	22496
260	7934	22466
261	7963	22430
262	8095	22684
263	8145	22709
264	8189	22714
265	8218	22677
266	8250	22650
267	8284	22628
268	8325	22624
269	8358	22598
270	8393	22577
271	8424	22547
272	8455	22515
273	8480	22469
274	8514	22446
275	8545	22415
276	8587	22414
277	8628	22409
278	8730	22562
279	8783	22585
280	8807	22535
281	8848	22530
282	8894	22534
283	8921	22491
284	8951	22456
285	8981	22422
286	9005	22372
287	9031	22327
288	9052	22271
289	9077	22224
290	9102	22176
291	9124	22123
292	9145	22067
293	9173	22029
294	9201	21989
295	9224	21939
296	9249	21894
297	9274	21847
298	9297	21798
299	9427	21998
300	9474	22002
301	9499	21956
302	9534	21932
303	9559	21885
304	9591	21855
305	9625	21829
306	9657	21800
307	9688	21768
308	9718	21732
309	9747	21695
310	9769	21643
311	9798	21605
312	9821	21556
313	9845	21510
314	9878	21482
315	9904	21439
316	9935	21406
317	9967	21375
318	9995	21338
319	10018	21290
320	10054	21266
321	10087	21240
322	10124	21221
323	10150	21178
324	10183	21149
325	10209	21107
326	10232	21060
327	10260	21021
328	10285	20976
329	10309	20931
330	10335	20890
